Country,NATIONS,EXCL,STAR,REGIONAL
Albania,0,1,1,1
Algeria,0,1,1,1
American Samoa,0,0,1,0
Argentina,1,0,0,1
Armenia,1,1,1,1
Australia,0,0,0,1
Austria,0,0,0,1
Azerbaijan,0,0,0,1
Bangladesh,0,0,1,1
Belarus,0,0,0,1
Belgium,0,0,0,1
Benin,0,1,0,1
Bhutan,1,1,1,0
Bolivia,1,1,1,1
Bosnia and Herzegovina,1,0,1,1
Botswana,1,0,1,1
Brazil,1,0,1,1
Bulgaria,1,1,1,1
Burkina Faso,0,0,0,1
Burundi,0,0,0,1
Cameroon,1,1,1,1
Canada,0,0,0,1
Chile,1,0,0,1
"China, People's Republic of",0,0,0,1
Colombia,0,1,0,1
"Congo, Dem. Rep. of the",0,1,0,1
"Congo, Republic of",0,0,0,1
Costa Rica,1,1,1,1
Croatia,0,0,0,1
Cuba,0,1,1,1
Cyprus,0,0,0,1
Czech Republic,0,0,1,1
Côte d'Ivoire,0,0,0,1
Denmark,0,0,0,1
Djibouti,0,0,0,1
Dominican Republic,0,1,1,1
Ecuador,1,0,0,1
Egypt,0,1,0,1
El Salvador,0,1,1,1
Estonia,0,0,0,1
Eswatini,0,0,1,1
Ethiopia,1,1,1,1
Finland,0,0,0,1
France,1,0,0,1
"Gambia, The",0,0,0,1
Georgia,1,1,1,1
Germany,0,0,0,1
Ghana,0,1,0,1
Greece,0,0,0,1
Guatemala,0,1,1,1
Honduras,0,1,0,1
Hong Kong SAR,0,0,0,1
Hungary,0,1,0,1
Iceland,0,0,0,1
India,0,0,1,1
Indonesia,0,0,0,1
Ireland,0,0,0,1
Israel,1,0,0,1
Italy,1,0,0,1
Ivory Coast,0,0,1,0
Japan,0,0,0,1
Jordan,1,0,1,0
Kazakhstan,1,0,0,1
Kenya,1,1,1,1
Kosovo,0,0,0,1
Kyrgyz Republic,1,1,1,1
Latvia,0,0,1,1
Lesotho,0,0,1,1
Libya,0,0,0,1
Lithuania,1,1,1,1
Luxembourg,0,0,0,1
Macao SAR,0,0,0,1
Macedonia,0,0,1,0
Malawi,0,0,0,1
Malaysia,1,1,1,1
Mali,0,0,0,1
Mauritania,1,1,1,1
Mauritius,0,0,0,1
Mexico,1,0,0,1
Moldova,0,0,0,1
Mongolia,1,1,1,1
Montenegro,0,0,1,1
Morocco,1,1,1,1
Mozambique,0,0,0,1
Myanmar,0,1,0,0
Namibia,1,1,0,1
Nepal,0,0,1,0
Netherlands,0,1,0,1
New Zealand,0,0,0,1
Nicaragua,0,1,1,1
Niger,0,0,0,1
Nigeria,1,1,1,1
North Macedonia,0,0,0,1
Norway,0,0,0,1
Pakistan,1,0,1,0
Panama,0,0,0,1
Paraguay,0,0,0,1
Peru,0,1,0,1
Philippines,1,1,1,0
Poland,0,0,0,1
Portugal,0,0,0,1
Puerto Rico,0,0,0,1
Qatar,0,1,0,0
Romania,0,0,0,1
Russian Federation,0,1,0,1
Rwanda,1,1,1,1
Saudi Arabia,0,0,0,1
Senegal,0,0,0,1
Serbia,0,0,0,1
Sierra Leone,0,0,0,1
Singapore,0,0,0,1
Slovak Republic,0,0,0,1
Slovenia,0,0,0,1
South Africa,1,1,1,1
"South Sudan, Republic of",0,1,1,1
Spain,0,0,0,1
Sri Lanka,1,0,0,1
Sweden,0,0,0,1
Switzerland,0,1,0,1
Taiwan Province of China,0,0,0,1
Tajikistan,0,0,0,1
Tanzania,0,1,0,1
Togo,0,0,0,1
Tunisia,1,1,1,1
Turkmenistan,0,0,0,1
"Türkiye, Republic of",0,1,0,1
Uganda,1,0,1,1
Ukraine,0,0,0,1
United Arab Emirates,0,0,0,1
United Kingdom,0,0,1,1
United States of America,0,1,0,1
Uruguay,0,0,0,1
Uzbekistan,1,1,1,1
Venezuela,0,0,0,1
West Bank and Gaza,0,1,1,0
Zimbabwe,0,0,1,1
